date,sunrise_setting_min,daylight_min,sunrise_rack_mm,daylight_rack_mm,carrier_output_rack_mm,expected_sunset_angle_deg,actual_sunset_angle_deg,time_kinematic_error_deg,sunrise_azimuth_deg,sunset_azimuth_deg,azimuth_mirror_error_deg
2025-02-11,0.000000000,626.514001951,0.000000000,10.670157904,5.335078952,313.257000975,313.257000975,0.000000000,108.122266749,251.877733251,-0.198129103
2025-02-12,0.000000000,629.095386736,0.000000000,11.008060382,5.504030191,314.547693368,314.547693368,0.000000000,107.665983616,252.334016384,-0.200958626
2025-02-13,0.000000000,631.695441814,0.000000000,11.348406796,5.674203398,315.847720907,315.847720907,0.000000000,107.205148393,252.794851607,-0.203746472
2025-02-14,0.000000000,634.313337783,0.000000000,11.691088577,5.845544288,317.156668891,317.156668891,0.000000000,106.739907548,253.260092452,-0.206492543
2025-02-15,0.000000000,636.948289149,0.000000000,12.036002904,6.018001452,318.474144574,318.474144574,0.000000000,106.270404319,253.729595681,-0.209195716
2025-02-16,0.000000000,639.599520759,0.000000000,12.383048310,6.191524155,319.799760380,319.799760380,0.000000000,105.796782899,254.203217101,-0.211856534
2025-02-17,0.000000000,642.266273809,0.000000000,12.732125468,6.366062734,321.133136905,321.133136905,0.000000000,105.319185753,254.680814247,-0.214472046
2025-02-18,0.000000000,644.947805027,0.000000000,13.083137084,6.541568542,322.473902513,322.473902513,0.000000000,104.837757481,255.162242519,-0.217043636
2025-02-19,0.000000000,647.643389573,0.000000000,13.435988276,6.717994138,323.821694787,323.821694787,0.000000000,104.352640600,255.647359400,-0.219568444
2025-02-20,0.000000000,650.352308587,0.000000000,13.790584946,6.895292473,325.176154294,325.176154294,0.000000000,103.863979775,256.136020225,-0.222046506
2025-02-21,0.000000000,653.073874155,0.000000000,14.146837045,7.073418523,326.536937077,326.536937077,0.000000000,103.371917495,256.628082505,-0.224475583
2025-02-22,0.000000000,655.807381385,0.000000000,14.504652305,7.252326153,327.903690692,327.903690692,0.000000000,102.876599841,257.123400159,-0.226855121
2025-02-23,0.000000000,658.552159728,0.000000000,14.863942950,7.431971475,329.276079864,329.276079864,0.000000000,102.378171409,257.621828591,-0.229183573
2025-02-24,0.000000000,661.307530597,0.000000000,15.224620153,7.612310077,330.653765298,330.653765298,0.000000000,101.876778787,258.123221213,-0.231458878
2025-02-25,0.000000000,664.072817776,0.000000000,15.586595399,7.793297699,332.036408888,332.036408888,0.000000000,101.372570515,258.627429485,-0.233680373
2025-02-26,0.000000000,666.847372483,0.000000000,15.949783760,7.974891880,333.423686241,333.423686241,0.000000000,100.865694129,259.134305871,-0.235847611
2025-02-27,0.000000000,669.630561073,0.000000000,16.314102295,8.157051147,334.815280536,334.815280536,0.000000000,100.356296174,259.643703826,-0.237959177
2025-02-28,0.000000000,672.421764744,0.000000000,16.679470001,8.339735001,336.210882372,336.210882372,0.000000000,99.844522739,260.155477261,-0.240015738
2025-03-01,0.000000000,675.220398251,0.000000000,17.045810271,8.522905135,337.610199126,337.610199126,0.000000000,99.330516378,260.669483622,-0.242016549
2025-03-02,0.000000000,678.025900300,0.000000000,17.413049630,8.706524815,339.012950150,339.012950150,0.000000000,98.814418775,261.185581225,-0.243962034
2025-03-03,0.000000000,680.837713537,0.000000000,17.781115122,8.890557561,340.418856769,340.418856769,0.000000000,98.296370972,261.703629028,-0.245851840
2025-03-04,0.000000000,683.655310052,0.000000000,18.149937643,9.074968822,341.827655026,341.827655026,0.000000000,97.776511370,262.223488630,-0.247683868
2025-03-05,0.000000000,686.478167031,0.000000000,18.519448758,9.259724379,343.239083515,343.239083515,0.000000000,97.254979654,262.745020346,-0.249458117
2025-03-06,0.000000000,689.305787154,0.000000000,18.889583366,9.444791683,344.652893577,344.652893577,0.000000000,96.731912964,263.268087036,-0.251174933
2025-03-07,0.000000000,692.137692181,0.000000000,19.260278868,9.630139434,346.068846091,346.068846091,0.000000000,96.207446737,263.792553263,-0.252836797
2025-03-08,0.000000000,694.973435353,0.000000000,19.631476781,9.815738390,347.486717677,347.486717677,0.000000000,95.681710062,264.318289938,-0.254443024
2025-03-09,0.000000000,697.812612565,0.000000000,20.003124209,10.001562104,348.906306282,348.906306282,0.000000000,95.154828044,264.845171956,-0.255996910
2025-03-10,0.000000000,700.654839616,0.000000000,20.375170860,10.187585430,350.327419808,350.327419808,0.000000000,94.626920187,265.373079813,-0.257498730
2025-03-11,0.000000000,703.499762253,0.000000000,20.747570362,10.373785181,351.749881126,351.749881126,0.000000000,94.098102199,265.901897801,-0.258950474
2025-03-12,0.000000000,706.347042944,0.000000000,21.120278533,10.560139266,353.173521472,353.173521472,0.000000000,93.568485615,266.431514385,-0.260352042
2025-03-13,0.000000000,709.196370449,0.000000000,21.493254631,10.746627316,354.598185225,354.598185225,0.000000000,93.038179090,266.961820910,-0.261704257
2025-03-14,0.000000000,712.047431282,0.000000000,21.866457622,10.933228811,356.023715641,356.023715641,0.000000000,92.507289718,267.492710282,-0.263006576
2025-03-15,0.000000000,714.899920116,0.000000000,22.239847537,11.119923768,357.449960058,357.449960058,0.000000000,91.975924396,268.024075604,-0.264259320
2025-03-16,0.000000000,717.753543758,0.000000000,22.613385998,11.306692999,358.876771879,358.876771879,0.000000000,91.444187588,268.555812412,-0.265460129
2025-03-17,0.000000000,720.607999793,0.000000000,22.987033419,11.493516710,0.303999896,0.303999896,0.000000000,90.912185907,269.087814093,-0.266608714
2025-03-18,0.000000000,723.462978588,0.000000000,23.360749270,11.680374635,1.731489294,1.731489294,0.000000000,90.380027025,269.619972975,-0.267704850
2025-03-19,0.000000000,726.318184527,0.000000000,23.734494853,11.867247427,3.159092263,3.159092263,0.000000000,89.847817069,270.152182931,-0.268746272
2025-03-20,0.000000000,729.173295917,0.000000000,24.108228060,12.054114030,4.586647959,4.586647959,0.000000000,89.315665055,270.684334945,-0.269731203
2025-03-21,0.000000000,732.027981856,0.000000000,24.481905576,12.240952788,6.013990928,6.013990928,0.000000000,88.783682167,271.216317833,-0.270658880
2025-03-22,0.000000000,734.881922528,0.000000000,24.855485536,12.427742768,7.440961264,7.440961264,0.000000000,88.251978715,271.748021285,-0.271527284
2025-03-23,0.000000000,737.734749290,0.000000000,25.228919686,12.614459843,8.867374645,8.867374645,0.000000000,87.720669648,272.279330352,-0.272333407
2025-03-24,0.000000000,740.586103856,0.000000000,25.602161126,12.801080563,10.293051928,10.293051928,0.000000000,87.189871470,272.810128530,-0.273076799
2025-03-25,0.000000000,743.435600985,0.000000000,25.975159428,12.987579714,11.717800492,11.717800492,0.000000000,86.659702467,273.340297533,-0.273754050
2025-03-26,0.000000000,746.282832634,0.000000000,26.347861179,13.173930590,13.141416317,13.141416317,0.000000000,86.130285014,273.869714986,-0.274363982
2025-03-27,0.000000000,749.127393203,0.000000000,26.720213287,13.360106643,14.563696601,14.563696601,0.000000000,85.601741164,274.398258836,-0.274905178
2025-03-28,0.000000000,751.968872526,0.000000000,27.092162060,13.546081030,15.984436263,15.984436263,0.000000000,85.074193697,274.925806303,-0.275377505
2025-03-29,0.000000000,754.806851683,0.000000000,27.463652663,13.731826332,17.403425841,17.403425841,0.000000000,84.547764782,275.452235218,-0.275779731
2025-03-30,0.000000000,757.640928157,0.000000000,27.834632406,13.917316203,18.820464078,18.820464078,0.000000000,84.022575505,275.977424495,-0.276112690
2025-03-31,0.000000000,760.470678993,0.000000000,28.205045925,14.102522962,20.235339496,20.235339496,0.000000000,83.498746817,276.501253183,-0.276373346
2025-04-01,0.000000000,763.295683000,0.000000000,28.574838084,14.287419042,21.647841500,21.647841500,0.000000000,82.976400838,277.023599162,-0.276561289
2025-04-02,0.000000000,766.115503285,0.000000000,28.943951696,14.471975848,23.057751643,23.057751643,0.000000000,82.455661538,277.544338462,-0.276675445
2025-04-03,0.000000000,768.929691067,0.000000000,29.312328016,14.656164008,24.464845534,24.464845534,0.000000000,81.936652673,278.063347327,-0.276713862
2025-04-04,0.000000000,771.737811258,0.000000000,29.679910089,14.839955045,25.868905629,25.868905629,0.000000000,81.419497108,278.580502892,-0.276677746
2025-04-05,0.000000000,774.539426418,0.000000000,30.046640656,15.023320328,27.269713209,27.269713209,0.000000000,80.904315628,279.095684372,-0.276568168
2025-04-06,0.000000000,777.334108134,0.000000000,30.412463637,15.206231819,28.667054067,28.667054067,0.000000000,80.391225279,279.608774721,-0.276386273
2025-04-07,0.000000000,780.121448712,0.000000000,30.777325666,15.388662833,30.060724356,30.060724356,0.000000000,79.880338831,280.119661169,-0.276133854
2025-04-08,0.000000000,782.901044907,0.000000000,31.141173957,15.570586978,31.450522454,31.450522454,0.000000000,79.371764889,280.628235111,-0.275810530
2025-04-09,0.000000000,785.672485320,0.000000000,31.503954658,15.751977329,32.836242660,32.836242660,0.000000000,78.865611512,281.134388488,-0.275417565
2025-04-10,0.000000000,788.435349468,0.000000000,31.865612730,15.932806365,34.217674734,34.217674734,0.000000000,78.361984556,281.638015444,-0.274953881
2025-04-11,0.000000000,791.189233600,0.000000000,32.226095320,16.113047660,35.594616800,35.594616800,0.000000000,77.860987267,282.139012733,-0.274418996
2025-04-12,0.000000000,793.933697064,0.000000000,32.585344747,16.292672373,36.966848532,36.966848532,0.000000000,77.362725813,282.637274187,-0.273813541
2025-04-13,0.000000000,796.668285881,0.000000000,32.943301586,16.471650793,38.334142940,38.334142940,0.000000000,76.867304681,283.132695319,-0.273133654
2025-04-14,0.000000000,799.392541881,0.000000000,33.299905863,16.649952931,39.696270941,39.696270940,-0.000000000,76.374830528,283.625169472,-0.272379986
2025-04-15,0.000000000,802.105973910,0.000000000,33.655093285,16.827546642,41.052986955,41.052986955,0.000000000,75.885411255,284.114588745,-0.271550175
2025-04-16,0.000000000,804.808070754,0.000000000,34.008796934,17.004398467,42.404035377,42.404035377,0.000000000,75.399156386,284.600843614,-0.270641806
2025-04-17,0.000000000,807.498295100,0.000000000,34.360946478,17.180473239,43.749147550,43.749147550,0.000000000,74.916177625,285.083822375,-0.269652031
2025-04-18,0.000000000,810.176077470,0.000000000,34.711467370,17.355733685,45.088038735,45.088038735,0.000000000,74.436590842,285.563409158,-0.268580620
2025-04-19,0.000000000,812.840825593,0.000000000,35.060282084,17.530141042,46.420412796,46.420412796,0.000000000,73.960512444,286.039487556,-0.267424157
2025-04-20,0.000000000,815.491902906,0.000000000,35.407307293,17.703653646,47.745951453,47.745951453,0.000000000,73.488063111,286.511936889,-0.266179284
2025-04-21,0.000000000,818.128641707,0.000000000,35.752455595,17.876227797,49.064320854,49.064320854,0.000000000,73.019367364,286.980632636,-0.264844423
2025-04-22,0.000000000,820.750339174,0.000000000,36.095634991,18.047817495,50.375169587,50.375169587,-0.000000000,72.554551628,287.445448372,-0.263414792
2025-04-23,0.000000000,823.356249038,0.000000000,36.436747794,18.218373897,51.678124519,51.678124519,0.000000000,72.093748656,287.906251344,-0.261890224
2025-04-24,0.000000000,825.945606485,0.000000000,36.775693891,18.387846946,52.972803242,52.972803242,0.000000000,71.637090850,288.362909150,-0.260267560
2025-04-25,0.000000000,828.517614562,0.000000000,37.112368961,18.556184481,54.258807281,54.258807281,0.000000000,71.184713541,288.815286459,-0.258545741
2025-04-26,0.000000000,831.071476734,0.000000000,37.446668738,18.723334369,55.535738367,55.535738367,0.000000000,70.736751272,289.263248728,-0.256725620
2025-04-27,0.000000000,833.606363911,0.000000000,37.778484693,18.889242347,56.803181956,56.803181956,0.000000000,70.293338497,289.706661503,-0.254804942
2025-04-28,0.000000000,836.121448208,0.000000000,38.107708458,19.053854229,58.060724104,58.060724104,0.000000000,69.854609769,290.145390231,-0.252783765
2025-04-29,0.000000000,838.615859062,0.000000000,38.434226075,19.217113038,59.307929531,59.307929531,0.000000000,69.420701261,290.579298739,-0.250658683
2025-04-30,0.000000000,841.088724481,0.000000000,38.757923402,19.378961701,60.544362240,60.544362240,0.000000000,68.991750225,291.008249775,-0.248427629
2025-05-01,0.000000000,843.539122717,0.000000000,39.078679781,19.539339890,61.769561359,61.769561359,0.000000000,68.567898357,291.432101643,-0.246089791
2025-05-02,0.000000000,845.966130973,0.000000000,39.396374419,19.698187209,62.983065486,62.983065486,0.000000000,68.149286870,291.850713130,-0.243644539
2025-05-03,0.000000000,848.368817332,0.000000000,39.710885327,19.855442664,64.184408666,64.184408666,0.000000000,67.736056374,292.263943626,-0.241093730
2025-05-04,0.000000000,850.746245262,0.000000000,40.022089916,20.011044958,65.373122631,65.373122631,0.000000000,67.328343407,292.671656593,-0.238436295
2025-05-05,0.000000000,853.097478239,0.000000000,40.329865593,20.164932796,66.548739119,66.548739119,0.000000000,66.926283639,293.073716361,-0.235675086
2025-05-06,0.000000000,855.421600198,0.000000000,40.634092446,20.317046223,67.710800099,67.710800099,0.000000000,66.530006313,293.469993687,-0.232810397
2025-05-07,0.000000000,857.717662618,0.000000000,40.934646314,20.467323157,68.858831309,68.858831309,0.000000000,66.139642036,293.860357964,-0.229845062
2025-05-08,0.000000000,859.984726812,0.000000000,41.231404323,20.615702161,69.992363406,69.992363406,0.000000000,65.755315620,294.244684380,-0.226776190
2025-05-09,0.000000000,862.221837986,0.000000000,41.524241491,20.762120745,71.110918993,71.110918993,-0.000000000,65.377153536,294.622846464,-0.223605139
2025-05-10,0.000000000,864.428023108,0.000000000,41.813030448,20.906515224,72.214011554,72.214011554,0.000000000,65.005281260,294.994718740,-0.220331877
2025-05-11,0.000000000,866.602308681,0.000000000,42.097643764,21.048821882,73.301154340,73.301154340,0.000000000,64.639822917,295.360177083,-0.216955623
2025-05-12,0.000000000,868.743693120,0.000000000,42.377950331,21.188975166,74.371846560,74.371846560,0.000000000,64.280904341,295.719095659,-0.213476385
2025-05-13,0.000000000,870.851156974,0.000000000,42.653816705,21.326908352,75.425578487,75.425578487,0.000000000,63.928650939,296.071349061,-0.209891808
2025-05-14,0.000000000,872.923672895,0.000000000,42.925108404,21.462554202,76.461836447,76.461836447,0.000000000,63.583189335,296.416810665,-0.206202110
2025-05-15,0.000000000,874.960177855,0.000000000,43.191686280,21.595843140,77.480088927,77.480088927,0.000000000,63.244647922,296.755352078,-0.202405447
2025-05-16,0.000000000,876.959595592,0.000000000,43.453409450,21.726704725,78.479797796,78.479797796,0.000000000,62.913156006,297.086843994,-0.198500667
2025-05-17,0.000000000,878.920836602,0.000000000,43.710135298,21.855067649,79.460418301,79.460418301,0.000000000,62.588844059,297.411155941,-0.194486758
2025-05-18,0.000000000,880.842763840,0.000000000,43.961714985,21.980857493,80.421381920,80.421381920,-0.000000000,62.271846151,297.728153849,-0.190363069
2025-05-19,0.000000000,882.724238975,0.000000000,44.207999504,22.103999752,81.362119488,81.362119488,0.000000000,61.962295275,298.037704725,-0.186127102
2025-05-20,0.000000000,884.564098012,0.000000000,44.448836489,22.224418245,82.282049006,82.282049006,0.000000000,61.660328111,298.339671889,-0.181780084
2025-05-21,0.000000000,886.361156635,0.000000000,44.684070913,22.342035456,83.180578318,83.180578318,0.000000000,61.366080421,298.633919579,-0.177319272
2025-05-22,0.000000000,888.114229712,0.000000000,44.913547642,22.456773821,84.057114856,84.057114856,0.000000000,61.079690018,298.920309982,-0.172747833
2025-05-23,0.000000000,889.822135995,0.000000000,45.137112052,22.568556026,84.911067998,84.911067998,0.000000000,60.801290850,299.198709150,-0.168066105
2025-05-24,0.000000000,891.483715833,0.000000000,45.354612344,22.677306172,85.741857917,85.741857916,-0.000000000,60.531014753,299.468985247,-0.163277753
2025-05-25,0.000000000,893.097822394,0.000000000,45.565898398,22.782949199,86.548911197,86.548911197,-0.000000000,60.268989251,299.731010749,-0.158384565
2025-05-26,0.000000000,894.663325508,0.000000000,45.770822277,22.885411138,87.331662754,87.331662754,0.000000000,60.015339056,299.984660944,-0.153388963
2025-05-27,0.000000000,896.179122924,0.000000000,45.969239695,22.984619847,88.089561462,88.089561462,0.000000000,59.770184961,300.229815039,-0.148291799
2025-05-28,0.000000000,897.644111600,0.000000000,46.161006264,23.080503132,88.822055800,88.822055800,-0.000000000,59.533647501,300.466352499,-0.143093161
2025-05-29,0.000000000,899.057203843,0.000000000,46.345979606,23.172989803,89.528601922,89.528601922,0.000000000,59.305847019,300.694152981,-0.137795567
2025-05-30,0.000000000,900.417326406,0.000000000,46.524019233,23.262009617,90.208663203,90.208663203,0.000000000,59.086901586,300.913098414,-0.132399918
2025-05-31,0.000000000,901.723431664,0.000000000,46.694988012,23.347494006,90.861715832,90.861715832,-0.000000000,58.876927568,301.123072432,-0.126911232
2025-06-01,0.000000000,902.974527429,0.000000000,46.858756064,23.429378032,91.487263714,91.487263714,0.000000000,58.676033265,301.323966735,-0.121332502
2025-06-02,0.000000000,904.169655155,0.000000000,47.015197918,23.507598959,92.084827577,92.084827577,0.000000000,58.484323101,301.515676899,-0.115669660
2025-06-03,0.000000000,905.307903094,0.000000000,47.164194225,23.582097112,92.653951547,92.653951547,0.000000000,58.301893768,301.698106232,-0.109926964
2025-06-04,0.000000000,906.388410189,0.000000000,47.305632273,23.652816136,93.194205094,93.194205094,0.000000000,58.128835680,301.871164320,-0.104109397
2025-06-05,0.000000000,907.410361388,0.000000000,47.439405372,23.719702686,93.705180694,93.705180694,0.000000000,57.965233413,302.034766587,-0.098221660
2025-06-06,0.000000000,908.372979005,0.000000000,47.565411723,23.782705862,94.186489503,94.186489503,0.000000000,57.811166108,302.188833892,-0.092267744
2025-06-07,0.000000000,909.275526448,0.000000000,47.683554907,23.841777454,94.637763224,94.637763224,-0.000000000,57.666707700,302.333292300,-0.086250624
2025-06-08,0.000000000,910.117320036,0.000000000,47.793745430,23.896872715,95.058660018,95.058660018,-0.000000000,57.531927446,302.468072554,-0.080175386
2025-06-09,0.000000000,910.897706029,0.000000000,47.895897718,23.947948859,95.448853015,95.448853014,-0.000000000,57.406889961,302.593110039,-0.074044671
2025-06-10,0.000000000,911.616075075,0.000000000,47.989932006,23.994966003,95.808037538,95.808037538,0.000000000,57.291656510,302.708343490,-0.067862983
2025-06-11,0.000000000,912.271853573,0.000000000,48.075773211,24.037886605,96.135926787,96.135926787,0.000000000,57.186284429,302.813715571,-0.061633689
2025-06-12,0.000000000,912.864521963,0.000000000,48.153353321,24.076676661,96.432260982,96.432260982,0.000000000,57.090825757,302.909174243,-0.055359065
2025-06-13,0.000000000,913.393576316,0.000000000,48.222606374,24.111303187,96.696788158,96.696788158,0.000000000,57.005332141,302.994667859,-0.049043255
2025-06-14,0.000000000,913.858558999,0.000000000,48.283472465,24.141736233,96.929279500,96.929279500,0.000000000,56.929850659,303.070149341,-0.042689358
2025-06-15,0.000000000,914.259051717,0.000000000,48.335896839,24.167948420,97.129525859,97.129525858,-0.000000000,56.864425163,303.135574837,-0.036300183
2025-06-16,0.000000000,914.594669896,0.000000000,48.379829156,24.189914578,97.297334948,97.297334948,-0.000000000,56.809096805,303.190903195,-0.029879550
2025-06-17,0.000000000,914.865074375,0.000000000,48.415225020,24.207612510,97.432537187,97.432537187,0.000000000,56.763902978,303.236097022,-0.023432385
2025-06-18,0.000000000,915.069981659,0.000000000,48.442047321,24.221023660,97.534990829,97.534990829,0.000000000,56.728874812,303.271125188,-0.016962507
2025-06-19,0.000000000,915.209160260,0.000000000,48.460265757,24.230132878,97.604580130,97.604580130,-0.000000000,56.704039234,303.295960766,-0.010477033
2025-06-20,0.000000000,915.282461018,0.000000000,48.469860804,24.234930402,97.641230509,97.641230509,0.000000000,56.689414373,303.310585627,-0.003983245
2025-06-21,0.000000000,915.289799740,0.000000000,48.470821440,24.235410720,97.644899870,97.644899870,0.000000000,56.685009707,303.314990293,0.002512853
2025-06-22,0.000000000,915.231186432,0.000000000,48.463148976,24.231574488,97.615593216,97.615593216,0.000000000,56.690825554,303.309174446,0.009002795
2025-06-23,0.000000000,915.106701722,0.000000000,48.446853966,24.223426983,97.553350861,97.553350861,0.000000000,56.706852883,303.293147117,0.015481349
2025-06-24,0.000000000,914.916501013,0.000000000,48.421956751,24.210978376,97.458250507,97.458250507,0.000000000,56.733076049,303.266923951,0.021941775
2025-06-25,0.000000000,914.660794385,0.000000000,48.388484832,24.194242416,97.330397193,97.330397192,-0.000000000,56.769471828,303.230528172,0.028382572
2025-06-26,0.000000000,914.339849753,0.000000000,48.346473278,24.173236639,97.169924876,97.169924876,0.000000000,56.816015408,303.183984592,0.034796805
2025-06-27,0.000000000,913.953982916,0.000000000,48.295963427,24.147981713,96.976991458,96.976991458,-0.000000000,56.872675845,303.127324155,0.041181917
2025-06-28,0.000000000,913.503573023,0.000000000,48.237004910,24.118502455,96.751786511,96.751786511,0.000000000,56.939417933,303.060582067,0.047532325
2025-06-29,0.000000000,912.989052640,0.000000000,48.169654349,24.084827174,96.494526320,96.494526320,0.000000000,57.016200778,302.983799222,0.053842314
2025-06-30,0.000000000,912.410935090,0.000000000,48.093978939,24.046989469,96.205467545,96.205467545,0.000000000,57.102974691,302.897025309,0.060106415
2025-07-01,0.000000000,911.769781896,0.000000000,48.010052182,24.005026091,95.884890948,95.884890948,0.000000000,57.199684776,302.800315224,0.066318001
2025-07-02,0.000000000,911.066223411,0.000000000,47.917956591,23.958978296,95.533111706,95.533111706,0.000000000,57.306267118,302.693732882,0.072472892
2025-07-03,0.000000000,910.300932710,0.000000000,47.817780273,23.908890136,95.150466355,95.150466355,-0.000000000,57.422653385,302.577346615,0.078565928
2025-07-04,0.000000000,909.474641769,0.000000000,47.709619042,23.854809521,94.737320884,94.737320884,-0.000000000,57.548768498,302.451231502,0.084592331
