day_coordinate,cam_angle_deg,pitch_radius_mm,surface_x_mm,surface_y_mm,surface_radius_mm,pressure_angle_deg,pitch_curvature_radius_mm
5.576388889,5.500000000,93.384021005,85.076466872,7.556580769,85.411399288,4.534150172,73.925965765
5.703125000,5.625000000,93.367806435,85.044464911,7.735996882,85.395589229,4.567509027,73.952143499
5.829861111,5.750000000,93.351475485,85.011970068,7.915308647,85.379664827,4.600791690,73.978238304
5.956597222,5.875000000,93.335028476,84.978982953,8.094514538,85.363626384,4.633998229,74.004250438
6.083333333,6.000000000,93.318465725,84.945504451,8.273611555,85.347474331,4.667139485,74.014841767
6.210069444,6.125000000,93.301787443,84.911536033,8.452593213,85.331209317,4.700251667,74.017338225
6.336805556,6.250000000,93.284993779,84.877078278,8.631457585,85.314831518,4.733337785,74.019723727
6.463541667,6.375000000,93.268084877,84.842131696,8.810203145,85.298341075,4.766397928,74.021998372
6.590277778,6.500000000,93.251060882,84.806696801,8.988828370,85.281738126,4.799432183,74.024162263
6.717013889,6.625000000,93.233921939,84.770774114,9.167331743,85.265022812,4.832440638,74.026215502
6.843750000,6.750000000,93.216668194,84.734364156,9.345711743,85.248195271,4.865423379,74.028158191
6.970486111,6.875000000,93.199299791,84.697467458,9.523966857,85.231255644,4.898380494,74.029990432
7.097222222,7.000000000,93.181816880,84.660084429,9.702096181,85.214204015,4.931307613,74.037159211
7.223958333,7.125000000,93.164219643,84.622215339,9.880099613,85.197040425,4.964194541,74.045876177
7.350694444,7.250000000,93.146508281,84.583860755,10.057975703,85.179765058,4.997040946,74.054488598
7.477430556,7.375000000,93.128682991,84.545021262,10.235722953,85.162378105,5.029846907,74.062996614
7.604166667,7.500000000,93.110743973,84.505697449,10.413339864,85.144879754,5.062612503,74.071400369
7.730902778,7.625000000,93.092691426,84.465889909,10.590824941,85.127270197,5.095337812,74.079700003
7.857638889,7.750000000,93.074525551,84.425599243,10.768176692,85.109549622,5.128022911,74.087895661
7.984375000,7.875000000,93.056246545,84.384826052,10.945393628,85.091718219,5.160667877,74.095987484
8.111111111,8.000000000,93.037854609,84.343570945,11.122474265,85.073776180,5.193272775,74.103989864
8.237847222,8.125000000,93.019349942,84.301834533,11.299417122,85.055723693,5.225837660,74.111890716
8.364583333,8.250000000,93.000732742,84.259617433,11.476220719,85.037560948,5.258362608,74.119688182
8.491319444,8.375000000,92.982003210,84.216920269,11.652883579,85.019288137,5.290847695,74.127382406
8.618055556,8.500000000,92.963161545,84.173743665,11.829404227,85.000905448,5.323292995,74.134973534
8.744791667,8.625000000,92.944207946,84.130088254,12.005781191,84.982413073,5.355698586,74.142461712
8.871527778,8.750000000,92.925142613,84.085954672,12.182013005,84.963811202,5.388064540,74.149847085
8.998263889,8.875000000,92.905965745,84.041343558,12.358098202,84.945100025,5.420390932,74.157129802
9.125000000,9.000000000,92.886677542,83.996255573,12.534035260,84.926279738,5.452678274,74.163892578
9.251736111,9.125000000,92.867278198,83.950691379,12.709822659,84.907350536,5.484927099,74.170546800
9.378472222,9.250000000,92.847767912,83.904651630,12.885458940,84.888312607,5.517137481,74.177098407
9.505208333,9.375000000,92.828146879,83.858136981,13.060942652,84.869166138,5.549309494,74.183547546
9.631944444,9.500000000,92.808415295,83.811148094,13.236272344,84.849911316,5.581443211,74.189894362
9.758680556,9.625000000,92.788573357,83.763685634,13.411446568,84.830548330,5.613538704,74.196139002
9.885416667,9.750000000,92.768621261,83.715750270,13.586463880,84.811077366,5.645596046,74.202281613
10.012152778,9.875000000,92.748559202,83.667342678,13.761322839,84.791498613,5.677615304,74.208364181
10.138888889,10.000000000,92.728387378,83.618463517,13.936022081,84.771812251,5.709596008,74.214739710
10.265625000,10.125000000,92.708105989,83.569113457,14.110560222,84.752018464,5.741537852,74.221014058
10.392361111,10.250000000,92.687715232,83.519293189,14.284935830,84.732117443,5.773440906,74.227187375
10.519097222,10.375000000,92.667215309,83.469003407,14.459147477,84.712109379,5.805305240,74.233259813
10.645833333,10.500000000,92.646606418,83.418244810,14.633193739,84.691994463,5.837130923,74.239231525
10.772569444,10.625000000,92.625888759,83.367018101,14.807073193,84.671772886,5.868918025,74.245102662
10.899305556,10.750000000,92.605062531,83.315323989,14.980784422,84.651444838,5.900666615,74.250873378
11.026041667,10.875000000,92.584127934,83.263163184,15.154326010,84.631010512,5.932376757,74.256561360
11.152777778,11.000000000,92.563085168,83.210536398,15.327696562,84.610470094,5.964048400,74.262217073
11.279513889,11.125000000,92.541934432,83.157444351,15.500894676,84.589823778,5.995681555,74.267772905
11.406250000,11.250000000,92.520675927,83.103887768,15.673918947,84.569071754,6.027276289,74.273229011
11.532986111,11.375000000,92.499309853,83.049867378,15.846767973,84.548214213,6.058832670,74.278585546
11.659722222,11.500000000,92.477836410,82.995383915,16.019440355,84.527251348,6.090350764,74.283842666
11.786458333,11.625000000,92.456255799,82.940438118,16.191934698,84.506183351,6.121830636,74.289000527
11.913194444,11.750000000,92.434568218,82.885030730,16.364249609,84.485010412,6.153272354,74.294059285
12.039930556,11.875000000,92.412773869,82.829162497,16.536383701,84.463732725,6.184675983,74.299015479
12.166666667,12.000000000,92.390872952,82.772834170,16.708335585,84.442350480,6.216041607,74.303865010
12.293402778,12.125000000,92.368865666,82.716046507,16.880103878,84.420863870,6.247369296,74.308615900
12.420138889,12.250000000,92.346752211,82.658800265,17.051687201,84.399273087,6.278659114,74.313268307
12.546875000,12.375000000,92.324532789,82.601096209,17.223084180,84.377578322,6.309911125,74.317822389
12.673611111,12.500000000,92.302207598,82.542935106,17.394293443,84.355779768,6.341125393,74.322278304
12.800347222,12.625000000,92.279776838,82.484317728,17.565313620,84.333877616,6.372301982,74.326636212
12.927083333,12.750000000,92.257240711,82.425244852,17.736143348,84.311872058,6.403440955,74.330896273
13.053819444,12.875000000,92.234599415,82.365717255,17.906781275,84.289763284,6.434542295,74.335234714
13.180555556,13.000000000,92.211853153,82.305735690,18.077226129,84.267551478,6.465605418,74.339714444
13.307291667,13.125000000,92.189002127,82.245300944,18.247476573,84.245236830,6.496630240,74.344097188
13.434027778,13.250000000,92.166046541,82.184413809,18.417531259,84.222819537,6.527616823,74.348383112
13.560763889,13.375000000,92.142986597,82.123075085,18.587388838,84.200299793,6.558565227,74.352572378
13.687500000,13.500000000,92.119822499,82.061285574,18.757047966,84.177677792,6.589475512,74.356665152
13.814236111,13.625000000,92.096554450,81.999046084,18.926507305,84.154953731,6.620347740,74.360661597
13.940972222,13.750000000,92.073182653,81.936357425,19.095765517,84.132127803,6.651181969,74.364561880
14.067708333,13.875000000,92.049707311,81.873220413,19.264821265,84.109200205,6.681978288,74.368312053
14.194444444,14.000000000,92.026128628,81.809635874,19.433673200,84.086171134,6.712736917,74.371919149
14.321180556,14.125000000,92.002446804,81.745604633,19.602319991,84.063040784,6.743457936,74.375430486
14.447916667,14.250000000,91.978662043,81.681127515,19.770760318,84.039809350,6.774141405,74.378846231
14.574652778,14.375000000,91.954774548,81.616205350,19.938992861,84.016477027,6.804787380,74.382166550
14.701388889,14.500000000,91.930784519,81.550838973,20.107016305,83.993044009,6.835395921,74.385391610
14.828125000,14.625000000,91.906692161,81.485029222,20.274829338,83.969510490,6.865967083,74.388521577
14.954861111,14.750000000,91.882497675,81.418776938,20.442430653,83.945876666,6.896500924,74.391556620
15.081597222,14.875000000,91.858201264,81.352082924,20.609819058,83.922142714,6.926996640,74.395776962
15.208333333,15.000000000,91.833803140,81.284947879,20.776993646,83.898308783,6.957451255,74.400612399
15.335069444,15.125000000,91.809303520,81.217372651,20.943953157,83.874375075,6.987864559,74.405355333
15.461805556,15.250000000,91.784702620,81.149358109,21.110696300,83.850341799,7.018236604,74.410005947
15.588541667,15.375000000,91.760000659,81.080905123,21.277221790,83.826209163,7.048567442,74.414564427
15.715277778,15.500000000,91.735197852,81.012014568,21.443528342,83.801977376,7.078857127,74.419030955
15.842013889,15.625000000,91.710294418,80.942687323,21.609614678,83.777646646,7.109105708,74.423405716
15.968750000,15.750000000,91.685290573,80.872924269,21.775479522,83.753217181,7.139313238,74.427688895
16.095486111,15.875000000,91.660186534,80.802726329,21.941121514,83.728689202,7.169480461,74.430996902
16.222222222,16.000000000,91.634982512,80.732094482,22.106539169,83.704062945,7.199609105,74.433923459
16.348958333,16.125000000,91.609678715,80.661029617,22.271731212,83.679338610,7.229699296,74.436757841
16.475694444,16.250000000,91.584275353,80.589532628,22.436696383,83.654516398,7.259751086,74.439500224
16.602430556,16.375000000,91.558772633,80.517604409,22.601433422,83.629596510,7.289764526,74.442150787
16.729166667,16.500000000,91.533170764,80.445245858,22.765941076,83.604579146,7.319739665,74.444709708
16.855902778,16.625000000,91.507469955,80.372457878,22.930218096,83.579464507,7.349676555,74.447177165
16.982638889,16.750000000,91.481670413,80.299241375,23.094263234,83.554252793,7.379575246,74.449553339
17.109375000,16.875000000,91.455772350,80.225597148,23.258075500,83.528944167,7.409433825,74.454024614
17.236111111,17.000000000,91.429775988,80.151525934,23.421654071,83.503538781,7.439249081,74.458754351
17.362847222,17.125000000,91.403681553,80.077028658,23.584997724,83.478036850,7.469021011,74.463395908
17.489583333,17.250000000,91.377489274,80.002106253,23.748105231,83.452438592,7.498749659,74.467949484
17.616319444,17.375000000,91.351199378,79.926759655,23.910975370,83.426744226,7.528435069,74.472415279
17.743055556,17.500000000,91.324812090,79.850989804,24.073606921,83.400953969,7.558077284,74.476793495
17.869791667,17.625000000,91.298327640,79.774797643,24.235998670,83.375068039,7.587676349,74.481084333
17.996527778,17.750000000,91.271746252,79.698184118,24.398149406,83.349086654,7.617232305,74.485287995
18.123263889,17.875000000,91.245068155,79.621150221,24.560057833,83.323010046,7.646745901,74.488706013
18.250000000,18.000000000,91.218293571,79.543696949,24.721722649,83.296838445,7.676217964,74.492016836
18.376736111,18.125000000,91.191422721,79.465825256,24.883142654,83.270572064,7.705648536,74.495240331
18.503472222,18.250000000,91.164455828,79.387536098,25.044316652,83.244211116,7.735037661,74.498376696
18.630208333,18.375000000,91.137393113,79.308830437,25.205243453,83.217755814,7.764385381,74.501426130
18.756944444,18.500000000,91.110234799,79.229709235,25.365921868,83.191206372,7.793691737,74.504388831
18.883680556,18.625000000,91.082981106,79.150173459,25.526350714,83.164563002,7.822956770,74.507264999
19.010416667,18.750000000,91.055632258,79.070224079,25.686528814,83.137825918,7.852180515,74.510134389
