day_coordinate,cam_angle_deg,pitch_radius_mm,surface_x_mm,surface_y_mm,surface_radius_mm,pressure_angle_deg,pitch_curvature_radius_mm
5.956597222,5.875000000,49.491232945,41.253180061,5.657337411,41.639288319,10.115095205,100.490033321
6.083333333,6.000000000,49.510559649,41.260589470,5.758023238,41.660425766,10.177414881,100.120620751
6.210069444,6.125000000,49.530014986,41.267890779,5.858748376,41.681695526,10.239497951,99.813543751
6.336805556,6.250000000,49.549598699,41.275083594,5.959513973,41.703097396,10.301350721,99.508907936
6.463541667,6.375000000,49.569310531,41.282167452,6.060320288,41.724630993,10.362973118,99.206697461
6.590277778,6.500000000,49.589150227,41.289141892,6.161167578,41.746295932,10.424365077,98.906896475
6.717013889,6.625000000,49.609117531,41.296006448,6.262056097,41.768091830,10.485526541,98.609489129
6.843750000,6.750000000,49.629212189,41.302760656,6.362986096,41.790018304,10.546457459,98.314459577
6.970486111,6.875000000,49.649433943,41.309404046,6.463957826,41.812074972,10.607157786,98.021791978
7.097222222,7.000000000,49.669782534,41.315936064,6.564970251,41.834261165,10.667618279,97.695204194
7.223958333,7.125000000,49.690257664,41.322356013,6.666020659,41.856575802,10.727817719,97.360628479
7.350694444,7.250000000,49.710859016,41.328663369,6.767109177,41.879018404,10.787755322,97.029137247
7.477430556,7.375000000,49.731586273,41.334857613,6.868236051,41.901588518,10.847431162,96.700701590
7.604166667,7.500000000,49.752439118,41.340938223,6.969401522,41.924285691,10.906845319,96.375292837
7.730902778,7.625000000,49.773417234,41.346904677,7.070605828,41.947109473,10.965997883,96.052882546
7.857638889,7.750000000,49.794520305,41.352756452,7.171849207,41.970059414,11.024888949,95.733442508
7.984375000,7.875000000,49.815748012,41.358493023,7.273131892,41.993135065,11.083518619,95.416944747
8.111111111,8.000000000,49.837100039,41.364113848,7.374453880,42.016335924,11.141885328,95.097916941
8.237847222,8.125000000,49.858576062,41.369618376,7.475815030,42.039661451,11.199986547,94.781110194
8.364583333,8.250000000,49.880175755,41.375006069,7.577215564,42.063111189,11.257822381,94.467267554
8.491319444,8.375000000,49.901898793,41.380276391,7.678655704,42.086684683,11.315392972,94.156360062
8.618055556,8.500000000,49.923744850,41.385428804,7.780135672,42.110381480,11.372698471,93.848359024
8.744791667,8.625000000,49.945713601,41.390462767,7.881655684,42.134201124,11.429739035,93.543236014
8.871527778,8.750000000,49.967804720,41.395377740,7.983215955,42.158143166,11.486514829,93.240962868
8.998263889,8.875000000,49.990017882,41.400173180,8.084816698,42.182207154,11.543026022,92.941511688
9.125000000,9.000000000,50.012352762,41.404848559,8.186458422,42.206392711,11.599274944,92.650719862
9.251736111,9.125000000,50.034809043,41.409403351,8.288141650,42.230699472,11.655264041,92.362678585
9.378472222,9.250000000,50.057386407,41.413837017,8.389866584,42.255127000,11.710993489,92.077280380
9.505208333,9.375000000,50.080084538,41.418149015,8.491633426,42.279674857,11.766463472,91.794500139
9.631944444,9.500000000,50.102903119,41.422338803,8.593442372,42.304342610,11.821674180,91.514312982
9.758680556,9.625000000,50.125841833,41.426405836,8.695293617,42.329129823,11.876625807,91.236694251
9.885416667,9.750000000,50.148900364,41.430349571,8.797187353,42.354036063,11.931318556,90.961619514
10.012152778,9.875000000,50.172078394,41.434169459,8.899123765,42.379060898,11.985752615,90.688568857
10.138888889,10.000000000,50.195375606,41.437864941,9.001102709,42.404203811,12.039925836,90.413385831
10.265625000,10.125000000,50.218791675,41.441435454,9.103124139,42.429464309,12.093836803,90.140757085
10.392361111,10.250000000,50.242326277,41.444880442,9.205188235,42.454841953,12.147485752,89.870657607
10.519097222,10.375000000,50.265979087,41.448199348,9.307295174,42.480336305,12.200872927,89.603062633
10.645833333,10.500000000,50.289749780,41.451391614,9.409445130,42.505946929,12.253998579,89.337947639
10.772569444,10.625000000,50.313638031,41.454456680,9.511638273,42.531673389,12.306862960,89.075288348
10.899305556,10.750000000,50.337643515,41.457393986,9.613874772,42.557515250,12.359466332,88.815060717
11.026041667,10.875000000,50.361765908,41.460202971,9.716154794,42.583472080,12.411808973,88.557379649
11.152777778,11.000000000,50.386004886,41.462883073,9.818478551,42.609543459,12.463891521,88.302612808
11.279513889,11.125000000,50.410360124,41.465433730,9.920846227,42.635728964,12.515714427,88.050196480
11.406250000,11.250000000,50.434831298,41.467854378,10.023257978,42.662028166,12.567277970,87.800107754
11.532986111,11.375000000,50.459418086,41.470144451,10.125713955,42.688440636,12.618582438,87.552323946
11.659722222,11.500000000,50.484120163,41.472303384,10.228214309,42.714965948,12.669628120,87.306822601
11.786458333,11.625000000,50.508937205,41.474330608,10.330759185,42.741603675,12.720415312,87.063581486
11.913194444,11.750000000,50.533868890,41.476225555,10.433348728,42.768353393,12.770944315,86.822578593
12.039930556,11.875000000,50.558914893,41.477987655,10.535983066,42.795214675,12.821215366,86.583280009
12.166666667,12.000000000,50.584074890,41.479616336,10.638662196,42.822187061,12.871227770,86.345079224
12.293402778,12.125000000,50.609348554,41.481111022,10.741386206,42.849270113,12.920981517,86.109076337
12.420138889,12.250000000,50.634735558,41.482471139,10.844155227,42.876463408,12.970476932,85.875249788
12.546875000,12.375000000,50.660235577,41.483696111,10.946969385,42.903766522,13.019714345,85.643578240
12.673611111,12.500000000,50.685848284,41.484785362,11.049828805,42.931179033,13.068694089,85.414040575
12.800347222,12.625000000,50.711573351,41.485738315,11.152733607,42.958700521,13.117416505,85.186615894
12.927083333,12.750000000,50.737410453,41.486554391,11.255683909,42.986330566,13.165881934,84.961283511
13.053819444,12.875000000,50.763359263,41.487233010,11.358679815,43.014068745,13.214090657,84.737671382
13.180555556,13.000000000,50.789419455,41.487773592,11.461721359,43.041914620,13.262042468,84.515643199
13.307291667,13.125000000,50.815590698,41.488175553,11.564808630,43.069867766,13.309737601,84.295658589
13.434027778,13.250000000,50.841872667,41.488438312,11.667941733,43.097927767,13.357176419,84.077697503
13.560763889,13.375000000,50.868265032,41.488561283,11.771120768,43.126094206,13.404359289,83.861740105
13.687500000,13.500000000,50.894767466,41.488543881,11.874345834,43.154366667,13.451286584,83.647766764
13.814236111,13.625000000,50.921379641,41.488385522,11.977617025,43.182744735,13.497958678,83.435758056
13.940972222,13.750000000,50.948101228,41.488085618,12.080934431,43.211227997,13.544375951,83.225694763
14.067708333,13.875000000,50.974931900,41.487643582,12.184298135,43.239816039,13.590538750,83.017408528
14.194444444,14.000000000,51.001871327,41.487058826,12.287708193,43.268508441,13.636447263,82.810902744
14.321180556,14.125000000,51.028919183,41.486330760,12.391164682,43.297304791,13.682101852,82.606289856
14.447916667,14.250000000,51.056075137,41.485458795,12.494667680,43.326204678,13.727502915,82.403551373
14.574652778,14.375000000,51.083338861,41.484442338,12.598217259,43.355207694,13.772650851,82.202668998
14.701388889,14.500000000,51.110710027,41.483280798,12.701813491,43.384313430,13.817546064,82.003624630
14.828125000,14.625000000,51.138188306,41.481973584,12.805456444,43.413521478,13.862188959,81.806400357
14.954861111,14.750000000,51.165773370,41.480520101,12.909146179,43.442831433,13.906579948,81.610978458
15.081597222,14.875000000,51.193464889,41.478919758,13.012882564,43.472242832,13.950718048,81.412976435
15.208333333,15.000000000,51.221262526,41.477171965,13.116664965,43.501755068,13.994598764,81.214405161
15.335069444,15.125000000,51.249165939,41.475276119,13.220493377,43.531367705,14.038222113,81.017677591
15.461805556,15.250000000,51.277174785,41.473231613,13.324367849,43.561080324,14.081588541,80.822775157
15.588541667,15.375000000,51.305288721,41.471037842,13.428288426,43.590892509,14.124698498,80.629679499
15.715277778,15.500000000,51.333507405,41.468694200,13.532255150,43.620803845,14.167552436,80.438372458
15.842013889,15.625000000,51.361830495,41.466200077,13.636268059,43.650813915,14.210150812,80.248836082
15.968750000,15.750000000,51.390257648,41.463554868,13.740327189,43.680922307,14.252494086,80.061052618
16.095486111,15.875000000,51.418788522,41.460757958,13.844432779,43.711128668,14.294584215,79.878823591
16.222222222,16.000000000,51.447422782,41.457808730,13.948585363,43.741432741,14.336425270,79.699502316
16.348958333,16.125000000,51.476160096,41.454706580,14.052784986,43.771834135,14.378017863,79.521814345
16.475694444,16.250000000,51.505000133,41.451450907,14.157031670,43.802332450,14.419362447,79.345743831
16.602430556,16.375000000,51.533942562,41.448041108,14.261325432,43.832927289,14.460459479,79.171275101
16.729166667,16.500000000,51.562987050,41.444476577,14.365666285,43.863618257,14.501309416,78.998392645
16.855902778,16.625000000,51.592133266,41.440756712,14.470054240,43.894404957,14.541912722,78.827081124
16.982638889,16.750000000,51.621380879,41.436880906,14.574489302,43.925286996,14.582269860,78.657325359
17.109375000,16.875000000,51.650729554,41.432848573,14.678970986,43.956263832,14.622377791,78.481610075
17.236111111,17.000000000,51.680178946,41.428659127,14.783498475,43.987334816,14.662231180,78.306336733
17.362847222,17.125000000,51.709728703,41.424311949,14.888071752,44.018499531,14.701830444,78.132687178
17.489583333,17.250000000,51.739378473,41.419806419,14.992690808,44.049757564,14.741176088,77.960645001
17.616319444,17.375000000,51.769127906,41.415141918,15.097355629,44.081108505,14.780268620,77.790193982
17.743055556,17.500000000,51.798976649,41.410317824,15.202066197,44.112551943,14.819108553,77.621318084
17.869791667,17.625000000,51.828924352,41.405333517,15.306822493,44.144087469,14.857696399,77.454001455
17.996527778,17.750000000,51.858970663,41.400188375,15.411624491,44.175714674,14.896032673,77.288228420
18.123263889,17.875000000,51.889115233,41.394881764,15.516472447,44.207433238,14.934119926,77.127685037
18.250000000,18.000000000,51.919357716,41.389413051,15.621366644,44.239242857,14.971960930,76.968710625
18.376736111,18.125000000,51.949697772,41.383781620,15.726307048,44.271143136,15.009556194,76.811185897
18.503472222,18.250000000,51.980135057,41.377986855,15.831293618,44.303133679,15.046906228,76.655096668
18.630208333,18.375000000,52.010669229,41.372028138,15.936326313,44.335214092,15.084011544,76.500428910
18.756944444,18.500000000,52.041299947,41.365904853,16.041405084,44.367383982,15.120872653,76.347168749
18.883680556,18.625000000,52.072026868,41.359616383,16.146529882,44.399642956,15.157490073,76.195302461
19.010416667,18.750000000,52.102849650,41.353162110,16.251700650,44.431990621,15.193864310,76.044641766
19.137152778,18.875000000,52.133767948,41.346541429,16.356917132,44.464426525,15.229994459,75.893411266
19.263888889,19.000000000,52.164781417,41.339753727,16.462179119,44.496950227,15.265880001,75.743560383
19.390625000,19.125000000,52.195889709,41.332798382,16.567486545,44.529561333,15.301521469,75.595075567
19.517361111,19.250000000,52.227092477,41.325674774,16.672839340,44.562259449,15.336919393,75.447943416
19.644097222,19.375000000,52.258389372,41.318382281,16.778237429,44.595044181,15.372074309,75.302150680
19.770833333,19.500000000,52.289780047,41.310920280,16.883680735,44.627915138,15.406986752,75.157684252
19.897569444,19.625000000,52.321264155,41.303288149,16.989169175,44.660871926,15.441657258,75.014531175
20.024305556,19.750000000,52.352841347,41.295485268,17.094702653,44.693914153,15.476086285,74.871970466
20.151041667,19.875000000,52.384511275,41.287511042,17.200280671,44.727041297,15.510271445,74.727739809
20.277777778,20.000000000,52.416273581,41.279364859,17.305902930,44.760252897,15.544211833,74.584828589
20.404513889,20.125000000,52.448127909,41.271046091,17.411569332,44.793548554,15.577908007,74.443223697
20.531250000,20.250000000,52.480073901,41.262554108,17.517279775,44.826927870,15.611360525,74.302912175
20.657986111,20.375000000,52.512111200,41.253888283,17.623034153,44.860390449,15.644569950,74.163881211
20.784722222,20.500000000,52.544239449,41.245047987,17.728832354,44.893935894,15.677536841,74.026118137
20.911458333,20.625000000,52.576458290,41.236032591,17.834674264,44.927563811,15.710261762,73.889610426
21.038194444,20.750000000,52.608767368,41.226841464,17.940559805,44.961273817,15.742745555,73.755812480
21.164930556,20.875000000,52.641166328,41.217473928,18.046489458,44.995065716,15.774993123,73.626608753
21.291666667,21.000000000,52.673654827,41.207929344,18.152463306,45.028939194,15.807006504,73.498567798
21.418402778,21.125000000,52.706232521,41.198207094,18.258481220,45.062893873,15.838786245,73.371678523
21.545138889,21.250000000,52.738899066,41.188306557,18.364543067,45.096929375,15.870332893,73.245929952
21.671875000,21.375000000,52.771654117,41.178227114,18.470648711,45.131045324,15.901646996,73.121311233
