day_coordinate,cam_angle_deg,pitch_radius_mm,surface_x_mm,surface_y_mm,surface_radius_mm,pressure_angle_deg,pitch_curvature_radius_mm
6.590277778,6.500000000,93.372159123,84.927196449,9.001637276,85.402916638,4.806004019,74.099437396
6.717013889,6.625000000,93.354974314,84.891201763,9.180392027,85.386156575,4.839058460,74.101489966
6.843750000,6.750000000,93.337674395,84.854718987,9.359023122,85.369283985,4.872087168,74.103431711
6.970486111,6.875000000,93.320259512,84.817748649,9.537529043,85.352299009,4.905090229,74.105262733
7.097222222,7.000000000,93.302729814,84.780291161,9.715908883,85.335201733,4.938063270,74.112440561
7.223958333,7.125000000,93.285085485,84.742346793,9.894162540,85.317992196,4.970996082,74.121169513
7.350694444,7.250000000,93.267326724,84.703916114,10.072288561,85.300670583,5.003888333,74.129793656
7.477430556,7.375000000,93.249453731,84.664999710,10.250285444,85.283237084,5.036740103,74.138313132
7.604166667,7.500000000,93.231466705,84.625598173,10.428151688,85.265691891,5.069551471,74.146728084
7.730902778,7.625000000,93.213365848,84.585712097,10.605885795,85.248035194,5.102322514,74.155038654
7.857638889,7.750000000,93.195151358,84.545342082,10.783486270,85.230267182,5.135053310,74.163244984
7.984375000,7.875000000,93.176823435,84.504488734,10.960951620,85.212388047,5.167743938,74.171347218
8.111111111,8.000000000,93.158382280,84.463152661,11.138280359,85.194397978,5.200394461,74.179359843
8.237847222,8.125000000,93.139828091,84.421334478,11.315471004,85.176297167,5.233004935,74.187270693
8.364583333,8.250000000,93.121161069,84.379034802,11.492522070,85.158085803,5.265575435,74.195077894
8.491319444,8.375000000,93.102381415,84.336254258,11.669432078,85.139764078,5.298106038,74.202781593
8.618055556,8.500000000,93.083489327,84.292993474,11.846199551,85.121332183,5.330596820,74.210381935
8.744791667,8.625000000,93.064485005,84.249253082,12.022823014,85.102790307,5.363047855,74.217879066
8.871527778,8.750000000,93.045368651,84.205033720,12.199300995,85.084138643,5.395459219,74.225273132
8.998263889,8.875000000,93.026140463,84.160336031,12.375632028,85.065377380,5.427830987,74.232564280
9.125000000,9.000000000,93.006800641,84.115160674,12.551814587,85.046506717,5.460163668,74.239334800
9.251736111,9.125000000,92.987349382,84.069508317,12.727847147,85.027526847,5.492457799,74.245996499
9.378472222,9.250000000,92.967786884,84.023379612,12.903728250,85.008437959,5.524713452,74.252555323
9.505208333,9.375000000,92.948113342,83.976775217,13.079456439,84.989240240,5.556930703,74.259011419
9.631944444,9.500000000,92.928328954,83.929695796,13.255030261,84.969933880,5.589109623,74.265364932
9.758680556,9.625000000,92.908433916,83.882142015,13.430448265,84.950519066,5.621250286,74.271616010
9.885416667,9.750000000,92.888428425,83.834114546,13.605709005,84.930995986,5.653352764,74.277764800
10.012152778,9.875000000,92.868312677,83.785614065,13.780811037,84.911364828,5.685417126,74.283853344
10.138888889,10.000000000,92.848086871,83.736641233,13.955752993,84.891625774,5.717442900,74.290235125
10.265625000,10.125000000,92.827751205,83.687196722,14.130533487,84.871779007,5.749429780,74.296515467
10.392361111,10.250000000,92.807305880,83.637281226,14.305151085,84.851824721,5.781377837,74.302694521
10.519097222,10.375000000,92.786751096,83.586895439,14.479604356,84.831763105,5.813287141,74.308772438
10.645833333,10.500000000,92.766087053,83.536040063,14.653891872,84.811594351,5.845157762,74.314749371
10.772569444,10.625000000,92.745313951,83.484715802,14.828012208,84.791318651,5.876989769,74.320625473
10.899305556,10.750000000,92.724431989,83.432923366,15.001963944,84.770936196,5.908783231,74.326400896
11.026041667,10.875000000,92.703441368,83.380663469,15.175745662,84.750447178,5.940538213,74.332093286
11.152777778,11.000000000,92.682342289,83.327936823,15.349355963,84.729851786,5.972254665,74.337752985
11.279513889,11.125000000,92.661134951,83.274744151,15.522793443,84.709150212,6.003932597,74.343312546
11.406250000,11.250000000,92.639819555,83.221086178,15.696056694,84.688342648,6.035572077,74.348772125
11.532986111,11.375000000,92.618396303,83.166963637,15.869144312,84.667429285,6.067173173,74.354131877
11.659722222,11.500000000,92.596865394,83.112377263,16.042054894,84.646410317,6.098735952,74.359391958
11.786458333,11.625000000,92.575227029,83.057327796,16.214787044,84.625285935,6.130260478,74.364552524
11.913194444,11.750000000,92.553481410,83.001815981,16.387339365,84.604056331,6.161746820,74.369613733
12.039930556,11.875000000,92.531628736,82.945842567,16.559710467,84.582721699,6.193195043,74.374572419
12.166666667,12.000000000,92.509669208,82.889408308,16.731898959,84.561282230,6.224605229,74.379424832
12.293402778,12.125000000,92.487603028,82.832513960,16.903903456,84.539738117,6.255977448,74.384178350
12.420138889,12.250000000,92.465430394,82.775160284,17.075722577,84.518089553,6.287311765,74.388833132
12.546875000,12.375000000,92.443151509,82.717348048,17.247354943,84.496336729,6.318608243,74.393389335
12.673611111,12.500000000,92.420766573,82.659078019,17.418799180,84.474479838,6.349866948,74.397847120
12.800347222,12.625000000,92.398275786,82.600350973,17.590053918,84.452519072,6.381087942,74.402206644
12.927083333,12.750000000,92.375679348,82.541167687,17.761117788,84.430454625,6.412271289,74.406468068
13.053819444,12.875000000,92.352977461,82.481528939,17.931989436,84.408286686,6.443416974,74.410807870
13.180555556,13.000000000,92.330170327,82.421435488,18.102667588,84.386015439,6.474524409,74.415289045
